"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","M","1978-02",6.645349,
"AUS","UNEMP","TOT","PC_LF","M","1978-03",6.303451,
"AUS","UNEMP","TOT","PC_LF","M","1978-04",6.268156,
"AUS","UNEMP","TOT","PC_LF","M","1978-05",6.210206,
"AUS","UNEMP","TOT","PC_LF","M","1978-06",6.304134,
"AUS","UNEMP","TOT","PC_LF","M","1978-07",6.223368,
"AUS","UNEMP","TOT","PC_LF","M","1978-08",6.490885,
"AUS","UNEMP","TOT","PC_LF","M","1978-09",6.252462,
"AUS","UNEMP","TOT","PC_LF","M","1978-10",6.16415,
"AUS","UNEMP","TOT","PC_LF","M","1978-11",6.332692,
"AUS","UNEMP","TOT","PC_LF","M","1978-12",6.406492,
"AUS","UNEMP","TOT","PC_LF","M","1979-01",6.371244,
"AUS","UNEMP","TOT","PC_LF","M","1979-02",6.25764,
"AUS","UNEMP","TOT","PC_LF","M","1979-03",6.303671,
"AUS","UNEMP","TOT","PC_LF","M","1979-04",6.499071,
"AUS","UNEMP","TOT","PC_LF","M","1979-05",6.204402,
"AUS","UNEMP","TOT","PC_LF","M","1979-06",6.251948,
"AUS","UNEMP","TOT","PC_LF","M","1979-07",6.274199,
"AUS","UNEMP","TOT","PC_LF","M","1979-08",6.118786,
"AUS","UNEMP","TOT","PC_LF","M","1979-09",6.234518,
"AUS","UNEMP","TOT","PC_LF","M","1979-10",6.384807,
"AUS","UNEMP","TOT","PC_LF","M","1979-11",6.04621,
"AUS","UNEMP","TOT","PC_LF","M","1979-12",6.121247,
"AUS","UNEMP","TOT","PC_LF","M","1980-01",6.14699,
"AUS","UNEMP","TOT","PC_LF","M","1980-02",5.999277,
"AUS","UNEMP","TOT","PC_LF","M","1980-03",5.937102,
"AUS","UNEMP","TOT","PC_LF","M","1980-04",6.115779,
"AUS","UNEMP","TOT","PC_LF","M","1980-05",6.246676,
"AUS","UNEMP","TOT","PC_LF","M","1980-06",6.32357,
"AUS","UNEMP","TOT","PC_LF","M","1980-07",6.077519,
"AUS","UNEMP","TOT","PC_LF","M","1980-08",6.177729,
"AUS","UNEMP","TOT","PC_LF","M","1980-09",6.142529,
"AUS","UNEMP","TOT","PC_LF","M","1980-10",6.055996,
"AUS","UNEMP","TOT","PC_LF","M","1980-11",5.851424,
"AUS","UNEMP","TOT","PC_LF","M","1980-12",6.052144,
